Symbol
A
AAL
AAPL
ABAX
ACM
ACTG
ACW
ADHD
ADI
ADP
ADSK
AET
AFG
AFM
AGN
ALOT
ALSN
AMD
AMP
AMTD
AMZN
ANF
AOL
APC
APEI
ARCP
ARN
ASH
ATEN
ATRS
ATVI
AV
AVT
AVX
AWH
AXP
B
BA
BAC
BBNK
BBT
BBY
BGG
BIG
BK
BKW
BMY
BPI
BRKR
BRKS
BRS
BSX
BTU
BTX
BUD
BWA
C
CALX
CAR
CAT
CBS
CCE
CCS
CELG
CG
CHRW
CHSP
CLGX
CLH
CLUB
CLX
CMA
CMCSA
CMG
CMRE
CNSI
CNW
COCO
COF
COL
COST
CPWR
CQB
CRM
CSBK
CSC
CSCO
CSGS
CSL
CTCT
CTXS
CUR
CVC
CVX
CW
CY
CYAN
DB
DCI
DISH
DOV
DRII
DSW
DTV
DUK
DVAX
DVN
DWA
EBIX
EEP
EFSC
EGOV
EHTH
EIX
ELX
EMMS
ENG
EPAY
EQY
EROS
ESCA
ESSA
ETN
ETR
EXC
F
FB
FBRC
FDI
FDO
FDX
FE
FINL
FIVE
FLDM
FLR
FST
FTI
GAME
GCAP
GCI
GCVRZ
GDOT
GEL
GHDX
GLUU
GLW
GME
GMED
GNW
GOOG
GPS
GRPN
GS
GXP
H
HAIN
HAL
HAR
HCBK
HD
HMPR
HOFT
HOG
HPQ
HRB
HSKA
HSP
HTF
HTZ
HUM
IACI
IBM
IIM
IM
IMGN
IMI
INT
INTC
IRE
IT
ITC
IVZ
JNPR
JPM
KBH
KBR
KELYA
KORS
KOS
KR
KRO
L
LAD
LAMR
LF
LG
LLL
LLY
LMT
LOW
LUV
MA
MAR
MBI
MCO
MDP
MDT
MENT
MGA
MMM
MNK
MNST
MNTA
MOS
MSFT
MSG
MSI
MSO
MT
MTB
MTD
MTN
MTSC
MTW
NAV
NDSN
NHC
NJ
NKE
NLY
NOG
NTWK
NWSA
NYT
OCR
OKE
OMG
ONTY
ORAN
ORCL
ORI
OSK
OSUR
PFE
PG
PHM
PKI
PNK
POZN
PPC
PPG
PPL
PRU
PVH
PXD
QCOM
QGEN
R
RALY
RAX
RBCN
RCL
REFR
RHT
RL
RMD
RMTI
ROP
ROSE
RSG
RSH
RVBD
S
SAR
SBH
SBR
SBUX
SC
SCMP
SEAS
SFY
SHLD
SHLO
SKUL
SLB
SNMX
SRCL
SRE
SSS
STRL
SWI
SYMC
SYRG
T
TEG
TESO
TFX
TGT
TMUS
TRIP
TSLA
TSN
TSYS
TUES
TWTR
UIS
UNH
UPS
UTX
V
VALE
VIAB
VRA
VZ
WAC
WFC
WIN
WLK
WM
WMGI
WMT
WWD
WWWW
XXIA
YHOO
ZAGG
ZNGA
